F;Méndez Álvaro;40.396064;-3.678413;
F;Pacífico;40.401249;-3.674910;5-0-0-0-0-0-0-0-0-0-0-0
F;Conde de Casal;40.407379;-3.670365;
F;Sainz de Baranda;40.416169;-3.669482;
F;O’Donnell;40.421191;-3.669032;
F;Manuel Becerra;40.427861;-3.669175;0-4-0-0-0-0-0-0-0-0-0-0
F;Diego de León;40.434175;-3.673987;0-0-0-2-1-0-0-0-0-0-0-0
F;Avenida de América;40.438154;-3.676407;0-0-0-2-0-0-1-0-3-0-0-0
F;República Argentina;40.445164;-3.685480;
F;Nuevos Ministerios;40.446363;-3.692928;0-0-0-0-0-0-0-2-0-4-0-0
F;Cuatro Caminos;40.446961;-3.703892;5-4-0-0-0-0-0-0-0-0-0-0
F;Guzmán el Bueno;40.446175;-3.712526;0-0-0-0-0-0-1-0-0-0-0-0
F;Vicente Aleixandre;40.446472;-3.718720;
F;Ciudad Universitaria;40.443547;-3.726947;
F;Moncloa;40.435023;-3.719404;0-0-3-0-0-0-0-0-0-0-0-0
F;Argüelles;40.430707;-3.716310;0-0-3-2-0-0-0-0-0-0-0-0
F;Príncipe Pío;40.420905;-3.719406;0-0-0-0-0-0-0-0-0-4-0-0
F;Puerta del Ángel;40.413793;-3.727199;
F;Alto de Extremadura;40.409867;-3.738899;
F;Lucero;40.404812;-3.745407;
G;Hospital del Henares;40.417734;-3.534623;
G;Henares;40.417771;-3.527176;
G;Jarama;40.423011;-3.525205;
G;San Fernando;40.442834;-3.534171;
G;La Rambla;40.425243;-3.547886;
G;Coslada Central;40.423889;-3.561469;
G;Barrio del Puerto;40.422608;-3.569133;
G;Estadio Metropolitano;40.433558;-3.600652;
G;Las Musas;40.432982;-3.607879;
G;San Blas;40.427850;-3.615588;
G;Simancas;40.428105;-3.625712;
G;García Noblejas;40.428450;-3.633304;
G;Ascao;40.430161;-3.641127;
G;Pueblo Nuevo;40.435067;-3.644126;0-0-0-0-2-0-0-0-0-0-0-0
G;Barrio de la Concepción;40.438865;-3.651655;
G;Parque de las Avenidas;40.439114;-3.663183;
